 2016-01-24 16:51:52,647 [P12132/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.4 application starting on DESKTOP-JK1B529
 2016-01-24 16:51:52,785 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-01-24 16:51:52,812 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 24ms)
 2016-01-24 16:51:53,200 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-01-24 16:51:53,886 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 685ms)
 2016-01-24 16:51:53,948 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-01-24 16:51:53,977 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 29ms)
 2016-01-24 16:51:53,978 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-01-24 16:51:53,999 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 21ms)
 2016-01-24 16:51:54,055 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-01-24 16:51:54,079 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 24ms)
 2016-01-24 16:51:54,079 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-01-24 16:51:54,126 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 46ms)
 2016-01-24 16:51:54,222 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-01-24 16:51:54,241 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 18ms)
 2016-01-24 16:51:54,242 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-01-24 16:51:54,260 [P12132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 18ms)
 2016-01-24 16:51:56,307 [P12132/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-01-24 16:51:56,907 [P12132/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-01-24 16:51:57,183 [P12132/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-01-24 16:51:57,214 [P12132/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-01-24 16:51:57,255 [P12132/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-01-24 16:51:57,382 [P12132/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-01-24 16:51:57,829 [P12132/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 5421ms)
 2016-01-24 16:51:58,944 [P12132/D2/T6] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://local.noarlungaunited.com.au:80/umbraco (UmbracoModule request)
 2016-01-24 16:51:59,224 [P12132/D2/T6] INFO  umbraco.content - Load Xml from file...
 2016-01-24 16:51:59,249 [P12132/D2/T6] INFO  umbraco.content - Loaded Xml from file.
 2016-01-24 16:51:59,540 [P12132/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-01-24 16:51:59,559 [P12132/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 18ms)
 2016-01-24 16:52:00,835 [P12132/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-01-24 16:52:00,883 [P12132/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 48ms)
 2016-01-24 16:53:12,178 [P12132/D2/T6] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-01-23 16:53:12
